AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.Restaurant,2018-02-01T10:01:37.5371306Z,2018-02-01T10:35:27.544Z,202aff9d-8631-4c12-85b3-64666473f428,10.02,33.83,175.0,10
Dotyk.Application.Restaurant,2018-02-01T10:01:49.8724877Z,2018-02-01T10:09:05.724Z,74d2a8c0-5531-4fc0-8478-f9ce11825f09,10.02,7.26,129.0,10
Dotyk.Application.Restaurant,2018-02-01T10:56:22.4844866Z,2018-02-01T10:56:39.78Z,89f9ec3a-40da-4346-880f-541b710bf023,10.93,0.29,175.0,10
Dotyk.Application.Restaurant,2018-02-01T11:28:15.5483841Z,2018-02-01T13:40:11.402Z,fbdc5aee-b6ed-4eda-aac7-78cd9fc5e127,11.47,131.93,115.0,11
Dotyk.Application.Restaurant,2018-02-01T13:07:46.5198641Z,2018-02-01T13:08:17.33Z,4fced3e2-a635-4135-aade-9e3251c567e8,13.12,0.51,36.0,13
Dotyk.Application.Restaurant,2018-02-01T13:19:32.4504737Z,2018-02-01T13:39:05.877Z,0279f430-cc28-4cde-9958-f4a5d8291007,13.32,19.56,38.0,13
Dotyk.Application.Restaurant,2018-02-01T13:40:57.7828101Z,2018-02-01T13:46:22.85Z,38c3e22b-f756-4cd8-8efc-838a9b6851e4,13.67,5.42,115.0,13
Dotyk.Application.Restaurant,2018-02-01T13:52:06.1382447Z,2018-02-01T14:20:34.559Z,4eae1b95-ffe7-498b-84c4-1fbcfc69b707,13.87,28.47,38.0,13
Dotyk.Application.Restaurant,2018-02-01T14:37:38.667598Z,2018-02-01T17:09:56.382Z,ba2602a4-3201-4b2f-b5ea-ae97cc0a8c1e,14.62,152.3,89.0,14
Dotyk.Application.Restaurant,2018-02-01T15:45:57.8629786Z,2018-02-01T15:50:11.397Z,e1446ab4-fe8e-4a76-9657-66ea9ff587a8,15.75,4.23,129.0,15
Dotyk.Application.Restaurant,2018-02-01T15:52:17.726124Z,2018-02-01T15:52:43.287Z,93590ab4-6643-4b53-adf2-ab6aee285ed6,15.87,0.43,19.0,15
Dotyk.Application.Restaurant,2018-02-01T16:00:32.4899549Z,2018-02-01T16:03:54.323Z,5570747d-5aa6-42cb-a15b-3fb715a1ac4a,16.0,3.36,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:00:35.7066303Z,2018-02-01T16:05:48.759Z,f56396fc-eb68-43b3-8e9c-b2e5278e59a9,16.0,5.22,36.0,16
Dotyk.Application.Restaurant,2018-02-01T16:01:00.6337519Z,2018-02-01T16:02:46.602Z,a506a9e5-26c4-41c8-a684-d856824df869,16.02,1.77,175.0,16
Dotyk.Application.Restaurant,2018-02-01T16:01:14.3461975Z,2018-02-01T16:11:35.358Z,2a7c76b5-bfc4-4496-a1aa-6563a90f5c76,16.02,10.35,19.0,16
Dotyk.Application.Restaurant,2018-02-01T16:05:25.1728161Z,2018-02-01T16:06:45.268Z,4daf4ac4-7dca-47b5-b0f8-dcfd478d081b,16.08,1.33,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:05:51.8612643Z,2018-02-01T16:09:25.829Z,15f79b5e-6b49-409d-9136-8e83856563b0,16.08,3.57,36.0,16
Dotyk.Application.Restaurant,2018-02-01T16:06:37.5388331Z,2018-02-01T16:06:57.166Z,c6e7b543-35be-45c0-a0c2-a3be61e8f103,16.1,0.33,115.0,16
Dotyk.Application.Restaurant,2018-02-01T16:06:53.5734464Z,2018-02-01T16:07:10.869Z,54d95bc9-c2a2-498d-a0b1-404f06096017,16.1,0.29,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:06:54.3652913Z,2018-02-01T16:11:14.554Z,854b946a-fbee-46e1-b57e-4dc64e98a588,16.1,4.34,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:07:16.1737968Z,2018-02-01T16:08:08.242Z,74ecef8a-6646-4163-9b0c-00d465115f5c,16.12,0.87,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:08:12.3704791Z,2018-02-01T16:08:16.921Z,2ca8506f-bfe7-4c7f-85de-53a371bb5f6a,16.13,0.08,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:08:21.4815616Z,2018-02-01T16:08:25.541Z,01640971-b330-48f8-9b18-4aec94a09b39,16.13,0.07,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:17:44.9140532Z,2018-02-01T16:19:46.762Z,cd9f4a5b-c93e-4980-b640-7a4bacbe40b4,16.28,2.03,36.0,16
